SapaLogicColor,TechDesignColor,SurfaceTreatmentGroup,OutputText,RGB,DescriptionSE,DescriptionNO,DescriptionDK,DescriptionFI,DescriptionEN,DescriptionPL
1040Y40R - GL30,N1040.340J,NC_1,1040Y40R_GL30,N|242|174|104,NCS S 1040-Y40R Glans 30,NCS S 1040-Y40R Glans 30,NCS S 1040-Y40R Glans 30,NCS S 1040-Y40R Kiiltoaste 30,NCS S 1040-Y40R Gloss 30,NCS S 1040-Y40R Polysk 30
1040Y10R - GL30,N1040.340P,NC_1,1040Y10R_GL30,N|242|211|113,NCS S 1040-Y10R Glans 30,NCS S 1040-Y10R Glans 30,NCS S 1040-Y10R Glans 30,NCS S 1040-Y10R Kiiltoaste 30,NCS S 1040-Y10R Gloss 30,NCS S 1040-Y10R Polysk 30
1040G50Y - GL30,N1040.340U,NC_1,1040G50Y_GL30,N|212|242|113,NCS S 1040-G50Y Glans 30,NCS S 1040-G50Y Glans 30,NCS S 1040-G50Y Glans 30,NCS S 1040-G50Y Kiiltoaste 30,NCS S 1040-G50Y Gloss 30,NCS S 1040-G50Y Polysk 30
1040B80G - GL80,N1040.8406,NC_1,1040B80G_GL80,N|114|242|213,NCS S 1040-B80G Glans 80,NCS S 1040-B80G Glans 80,NCS S 1040-B80G Glans 80,NCS S 1040-B80G Kiiltoaste 80,NCS S 1040-B80G Gloss 80,NCS S 1040-B80G Polysk 80
1040Y20R - GL80,N1040.840A,NC_1,1040Y20R_GL80,N|242|200|110,NCS S 1040-Y20R Glans 80,NCS S 1040-Y20R Glans 80,NCS S 1040-Y20R Glans 80,NCS S 1040-Y20R Kiiltoaste 80,NCS S 1040-Y20R Gloss 80,NCS S 1040-Y20R Polysk 80
1040R80B - GL80,N1040.840I,NC_1,1040R80B_GL80,N|90|118|242,NCS S 1040-R80B Glans 80,NCS S 1040-R80B Glans 80,NCS S 1040-R80B Glans 80,NCS S 1040-R80B Kiiltoaste 80,NCS S 1040-R80B Gloss 80,NCS S 1040-R80B Polysk 80
1040Y40R - GL80,N1040.840J,NC_1,1040Y40R_GL80,N|242|174|104,NCS S 1040-Y40R Glans 80,NCS S 1040-Y40R Glans 80,NCS S 1040-Y40R Glans 80,NCS S 1040-Y40R Kiiltoaste 80,NCS S 1040-Y40R Gloss 80,NCS S 1040-Y40R Polysk 80
1040R90B - GL80,N1040.840M,NC_1,1040R90B_GL80,N|96|144|242,NCS S 1040-R90B Glans 80,NCS S 1040-R90B Glans 80,NCS S 1040-R90B Glans 80,NCS S 1040-R90B Kiiltoaste 80,NCS S 1040-R90B Gloss 80,NCS S 1040-R90B Polysk 80
1040Y10R - GL80,N1040.840P,NC_1,1040Y10R_GL80,N|242|211|113,NCS S 1040-Y10R Glans 80,NCS S 1040-Y10R Glans 80,NCS S 1040-Y10R Glans 80,NCS S 1040-Y10R Kiiltoaste 80,NCS S 1040-Y10R Gloss 80,NCS S 1040-Y10R Polysk 80
1050Y20R - GL30,N1050.340A,NC_1,1050Y20R_GL30,N|242|192|87,NCS S 1050-Y20R Glans 30,NCS S 1050-Y20R Glans 30,NCS S 1050-Y20R Glans 30,NCS S 1050-Y20R Kiiltoaste 30,NCS S 1050-Y20R Gloss 30,NCS S 1050-Y20R Polysk 30
