SapaLogicColor,TechDesignColor,SurfaceTreatmentGroup,OutputText,RGB,DescriptionSE,DescriptionNO,DescriptionDK,DescriptionFI,DescriptionEN,DescriptionPL
2070Y20R - GL30,N2070.340A,NC_1,2070Y20R_GL30,N|215|159|42,NCS S 2070-Y20R Glans 30,NCS S 2070-Y20R Glans 30,NCS S 2070-Y20R Glans 30,NCS S 2070-Y20R Kiiltoaste 30,NCS S 2070-Y20R Gloss 30,NCS S 2070-Y20R Polysk 30
2070Y80R - GL30,N2070.340C,NC_1,2070Y80R_GL30,N|215|63|31,NCS S 2070-Y80R Glans 30,NCS S 2070-Y80R Glans 30,NCS S 2070-Y80R Glans 30,NCS S 2070-Y80R Kiiltoaste 30,NCS S 2070-Y80R Gloss 30,NCS S 2070-Y80R Polysk 30
2070Y70R - GL30,N2070.340E,NC_1,2070Y70R_GL30,N|215|79|33,NCS S 2070-Y70R Glans 30,NCS S 2070-Y70R Glans 30,NCS S 2070-Y70R Glans 30,NCS S 2070-Y70R Kiiltoaste 30,NCS S 2070-Y70R Gloss 30,NCS S 2070-Y70R Polysk 30
2070Y30R - GL30,N2070.340L,NC_1,2070Y30R_GL30,N|215|144|40,NCS S 2070-Y30R Glans 30,NCS S 2070-Y30R Glans 30,NCS S 2070-Y30R Glans 30,NCS S 2070-Y30R Kiiltoaste 30,NCS S 2070-Y30R Gloss 30,NCS S 2070-Y30R Polysk 30
2070Y10R - GL30,N2070.340P,NC_1,2070Y10R_GL30,N|215|175|43,NCS S 2070-Y10R Glans 30,NCS S 2070-Y10R Glans 30,NCS S 2070-Y10R Glans 30,NCS S 2070-Y10R Kiiltoaste 30,NCS S 2070-Y10R Gloss 30,NCS S 2070-Y10R Polysk 30
2070G10Y - GL30,N2070.340Q,NC_1,2070G10Y_GL30,N|78|215|84,NCS S 2070-G10Y Glans 30,NCS S 2070-G10Y Glans 30,NCS S 2070-G10Y Glans 30,NCS S 2070-G10Y Kiiltoaste 30,NCS S 2070-G10Y Gloss 30,NCS S 2070-G10Y Polysk 30
2070R - GL30,N2070.340R,NC_1,2070R_GL30,N|215|28|40,NCS S 2070-R Glans 30,NCS S 2070-R Glans 30,NCS S 2070-R Glans 30,NCS S 2070-R Kiiltoaste 30,NCS S 2070-R Gloss 30,NCS S 2070-R Polysk 30
2070Y60R - GL30,N2070.340W,NC_1,2070Y60R_GL30,N|215|96|35,NCS S 2070-Y60R Glans 30,NCS S 2070-Y60R Glans 30,NCS S 2070-Y60R Glans 30,NCS S 2070-Y60R Kiiltoaste 30,NCS S 2070-Y60R Gloss 30,NCS S 2070-Y60R Polysk 30
2070Y - GL30,N2070.340Y,NC_1,2070Y_GL30,N|215|189|45,NCS S 2070-Y Glans 30,NCS S 2070-Y Glans 30,NCS S 2070-Y Glans 30,NCS S 2070-Y Kiiltoaste 30,NCS S 2070-Y Gloss 30,NCS S 2070-Y Polysk 30
2070R10B - GL80,N2070.8405,NC_1,2070R10B_GL80,N|215|30|52,NCS S 2070-R10B Glans 80,NCS S 2070-R10B Glans 80,NCS S 2070-R10B Glans 80,NCS S 2070-R10B Kiiltoaste 80,NCS S 2070-R10B Gloss 80,NCS S 2070-R10B Polysk 80
2070Y20R - GL80,N2070.840A,NC_1,2070Y20R_GL80,N|215|159|42,NCS S 2070-Y20R Glans 80,NCS S 2070-Y20R Glans 80,NCS S 2070-Y20R Glans 80,NCS S 2070-Y20R Kiiltoaste 80,NCS S 2070-Y20R Gloss 80,NCS S 2070-Y20R Polysk 80
2070Y80R - GL80,N2070.840C,NC_1,2070Y80R_GL80,N|215|63|31,NCS S 2070-Y80R Glans 80,NCS S 2070-Y80R Glans 80,NCS S 2070-Y80R Glans 80,NCS S 2070-Y80R Kiiltoaste 80,NCS S 2070-Y80R Gloss 80,NCS S 2070-Y80R Polysk 80
2070Y50R - GL80,N2070.840D,NC_1,2070Y50R_GL80,N|215|112|36,NCS S 2070-Y50R Glans 80,NCS S 2070-Y50R Glans 80,NCS S 2070-Y50R Glans 80,NCS S 2070-Y50R Kiiltoaste 80,NCS S 2070-Y50R Gloss 80,NCS S 2070-Y50R Polysk 80
2070Y70R - GL80,N2070.840E,NC_1,2070Y70R_GL80,N|215|79|33,NCS S 2070-Y70R Glans 80,NCS S 2070-Y70R Glans 80,NCS S 2070-Y70R Glans 80,NCS S 2070-Y70R Kiiltoaste 80,NCS S 2070-Y70R Gloss 80,NCS S 2070-Y70R Polysk 80
2070Y90R - GL80,N2070.840F,NC_1,2070Y90R_GL80,N|215|46|34,NCS S 2070-Y90R Glans 80,NCS S 2070-Y90R Glans 80,NCS S 2070-Y90R Glans 80,NCS S 2070-Y90R Kiiltoaste 80,NCS S 2070-Y90R Gloss 80,NCS S 2070-Y90R Polysk 80
2070Y40R - GL80,N2070.840J,NC_1,2070Y40R_GL80,N|215|128|38,NCS S 2070-Y40R Glans 80,NCS S 2070-Y40R Glans 80,NCS S 2070-Y40R Glans 80,NCS S 2070-Y40R Kiiltoaste 80,NCS S 2070-Y40R Gloss 80,NCS S 2070-Y40R Polysk 80
2070Y30R - GL80,N2070.840L,NC_1,2070Y30R_GL80,N|215|144|40,NCS S 2070-Y30R Glans 80,NCS S 2070-Y30R Glans 80,NCS S 2070-Y30R Glans 80,NCS S 2070-Y30R Kiiltoaste 80,NCS S 2070-Y30R Gloss 80,NCS S 2070-Y30R Polysk 80
2070Y10R - GL80,N2070.840P,NC_1,2070Y10R_GL80,N|215|175|43,NCS S 2070-Y10R Glans 80,NCS S 2070-Y10R Glans 80,NCS S 2070-Y10R Glans 80,NCS S 2070-Y10R Kiiltoaste 80,NCS S 2070-Y10R Gloss 80,NCS S 2070-Y10R Polysk 80
2070G10Y - GL80,N2070.840Q,NC_1,2070G10Y_GL80,N|78|215|84,NCS S 2070-G10Y Glans 80,NCS S 2070-G10Y Glans 80,NCS S 2070-G10Y Glans 80,NCS S 2070-G10Y Kiiltoaste 80,NCS S 2070-G10Y Gloss 80,NCS S 2070-G10Y Polysk 80
2070R - GL80,N2070.840R,NC_1,2070R_GL80,N|215|28|40,NCS S 2070-R Glans 80,NCS S 2070-R Glans 80,NCS S 2070-R Glans 80,NCS S 2070-R Kiiltoaste 80,NCS S 2070-R Gloss 80,NCS S 2070-R Polysk 80
2070Y60R - GL80,N2070.840W,NC_1,2070Y60R_GL80,N|215|96|35,NCS S 2070-Y60R Glans 80,NCS S 2070-Y60R Glans 80,NCS S 2070-Y60R Glans 80,NCS S 2070-Y60R Kiiltoaste 80,NCS S 2070-Y60R Gloss 80,NCS S 2070-Y60R Polysk 80
2070Y - GL80,N2070.840Y,NC_1,2070Y_GL80,N|215|189|45,NCS S 2070-Y Glans 80,NCS S 2070-Y Glans 80,NCS S 2070-Y Glans 80,NCS S 2070-Y Kiiltoaste 80,NCS S 2070-Y Gloss 80,NCS S 2070-Y Polysk 80
2075Y70R - GL30,N2075.340E,NC_1,2075Y70R_GL30,N|215|75|26,NCS S 2075-Y70R Glans 30,NCS S 2075-Y70R Glans 30,NCS S 2075-Y70R Glans 30,NCS S 2075-Y70R Kiiltoaste 30,NCS S 2075-Y70R Gloss 30,NCS S 2075-Y70R Polysk 30
2075G20Y - GL30,N2075.340T,NC_1,2075G20Y_GL30,N|106|215|61,NCS S 2075-G20Y Glans 30,NCS S 2075-G20Y Glans 30,NCS S 2075-G20Y Glans 30,NCS S 2075-G20Y Kiiltoaste 30,NCS S 2075-G20Y Gloss 30,NCS S 2075-G20Y Polysk 30
2075Y70R - GL80,N2075.840E,NC_1,2075Y70R_GL80,N|215|75|26,NCS S 2075-Y70R Glans 80,NCS S 2075-Y70R Glans 80,NCS S 2075-Y70R Glans 80,NCS S 2075-Y70R Kiiltoaste 80,NCS S 2075-Y70R Gloss 80,NCS S 2075-Y70R Polysk 80
2075G20Y - GL80,N2075.840T,NC_1,2075G20Y_GL80,N|106|215|61,NCS S 2075-G20Y Glans 80,NCS S 2075-G20Y Glans 80,NCS S 2075-G20Y Glans 80,NCS S 2075-G20Y Kiiltoaste 80,NCS S 2075-G20Y Gloss 80,NCS S 2075-G20Y Polysk 80
2110G20Y - GL30,N2110.340T,NC_1,2110G20Y_GL30,N|190|212|181,NCS S 2110-G20Y Glans 30,NCS S 2110-G20Y Glans 30,NCS S 2110-G20Y Glans 30,NCS S 2110-G20Y Kiiltoaste 30,NCS S 2110-G20Y Gloss 30,NCS S 2110-G20Y Polysk 30
2500N - GL30,N2500.340N,NC_1,2500N_GL30,N|191|191|191,NCS S 2500-N Glans 30,NCS S 2500-N Glans 30,NCS S 2500-N Glans 30,NCS S 2500-N Kiiltoaste 30,NCS S 2500-N Gloss 30,NCS S 2500-N Polysk 30
2500N - GL80,N2500.840N,NC_1,2500N_GL80,N|191|191|191,NCS S 2500-N Glans 80,NCS S 2500-N Glans 80,NCS S 2500-N Glans 80,NCS S 2500-N Kiiltoaste 80,NCS S 2500-N Gloss 80,NCS S 2500-N Polysk 80
2502B - GL30,N2502.340B,NC_1,2502B_GL30,N|194|199|201,NCS S 2502-B Glans 30,NCS S 2502-B Glans 30,NCS S 2502-B Glans 30,NCS S 2502-B Kiiltoaste 30,NCS S 2502-B Gloss 30,NCS S 2502-B Polysk 30
2502Y - GL30,N2502.340Y,NC_1,2502Y_GL30,N|201|200|195,NCS S 2502-Y Glans 30,NCS S 2502-Y Glans 30,NCS S 2502-Y Glans 30,NCS S 2502-Y Kiiltoaste 30,NCS S 2502-Y Gloss 30,NCS S 2502-Y Polysk 30
2502B - GL80,N2502.840B,NC_1,2502B_GL80,N|194|199|201,NCS S 2502-B Glans 80,NCS S 2502-B Glans 80,NCS S 2502-B Glans 80,NCS S 2502-B Kiiltoaste 80,NCS S 2502-B Gloss 80,NCS S 2502-B Polysk 80
2502G - GL80,N2502.840G,NC_1,2502G_GL80,N|193|201|196,NCS S 2502-G Glans 80,NCS S 2502-G Glans 80,NCS S 2502-G Glans 80,NCS S 2502-G Kiiltoaste 80,NCS S 2502-G Gloss 80,NCS S 2502-G Polysk 80
2502R - GL80,N2502.840R,NC_1,2502R_GL80,N|189|185|185,NCS S 2502-R Glans 80,NCS S 2502-R Glans 80,NCS S 2502-R Glans 80,NCS S 2502-R Kiiltoaste 80,NCS S 2502-R Gloss 80,NCS S 2502-R Polysk 80
2502Y - GL80,N2502.840Y,NC_1,2502Y_GL80,N|201|200|195,NCS S 2502-Y Glans 80,NCS S 2502-Y Glans 80,NCS S 2502-Y Glans 80,NCS S 2502-Y Kiiltoaste 80,NCS S 2502-Y Gloss 80,NCS S 2502-Y Polysk 80
2555B30G - GL80,N2555.8400,NC_1,2555B30G_GL80,N|69|189|201,NCS S 2555-B30G Glans 80,NCS S 2555-B30G Glans 80,NCS S 2555-B30G Glans 80,NCS S 2555-B30G Kiiltoaste 80,NCS S 2555-B30G Gloss 80,NCS S 2555-B30G Polysk 80
2555B80G - GL80,N2555.8406,NC_1,2555B80G_GL80,N|66|201|171,NCS S 2555-B80G Glans 80,NCS S 2555-B80G Glans 80,NCS S 2555-B80G Glans 80,NCS S 2555-B80G Kiiltoaste 80,NCS S 2555-B80G Gloss 80,NCS S 2555-B80G Polysk 80
2565G - GL30,N2565.340G,NC_1,2565G_GL30,N|40|201|103,NCS S 2565-G Glans 30,NCS S 2565-G Glans 30,NCS S 2565-G Glans 30,NCS S 2565-G Kiiltoaste 30,NCS S 2565-G Gloss 30,NCS S 2565-G Polysk 30
2565G - GL80,N2565.840G,NC_1,2565G_GL80,N|40|201|103,NCS S 2565-G Glans 80,NCS S 2565-G Glans 80,NCS S 2565-G Glans 80,NCS S 2565-G Kiiltoaste 80,NCS S 2565-G Gloss 80,NCS S 2565-G Polysk 80
2565R80B - GL80,N2565.840I,NC_1,2565R80B_GL80,N|35|66|201,NCS S 2565-R80B Glans 80,NCS S 2565-R80B Glans 80,NCS S 2565-R80B Glans 80,NCS S 2565-R80B Kiiltoaste 80,NCS S 2565-R80B Gloss 80,NCS S 2565-R80B Polysk 80
2570Y80R - GL30,N2570.340C,NC_1,2570Y80R_GL30,N|201|59|29,NCS S 2570-Y80R Glans 30,NCS S 2570-Y80R Glans 30,NCS S 2570-Y80R Glans 30,NCS S 2570-Y80R Kiiltoaste 30,NCS S 2570-Y80R Gloss 30,NCS S 2570-Y80R Polysk 30
2570Y50R - GL30,N2570.340D,NC_1,2570Y50R_GL30,N|201|105|34,NCS S 2570-Y50R Glans 30,NCS S 2570-Y50R Glans 30,NCS S 2570-Y50R Glans 30,NCS S 2570-Y50R Kiiltoaste 30,NCS S 2570-Y50R Gloss 30,NCS S 2570-Y50R Polysk 30
2570Y70R - GL30,N2570.340E,NC_1,2570Y70R_GL30,N|201|74|31,NCS S 2570-Y70R Glans 30,NCS S 2570-Y70R Glans 30,NCS S 2570-Y70R Glans 30,NCS S 2570-Y70R Kiiltoaste 30,NCS S 2570-Y70R Gloss 30,NCS S 2570-Y70R Polysk 30
2570Y90R - GL30,N2570.340F,NC_1,2570Y90R_GL30,N|201|43|32,NCS S 2570-Y90R Glans 30,NCS S 2570-Y90R Glans 30,NCS S 2570-Y90R Glans 30,NCS S 2570-Y90R Kiiltoaste 30,NCS S 2570-Y90R Gloss 30,NCS S 2570-Y90R Polysk 30
2570Y40R - GL30,N2570.340J,NC_1,2570Y40R_GL30,N|201|120|36,NCS S 2570-Y40R Glans 30,NCS S 2570-Y40R Glans 30,NCS S 2570-Y40R Glans 30,NCS S 2570-Y40R Kiiltoaste 30,NCS S 2570-Y40R Gloss 30,NCS S 2570-Y40R Polysk 30
2570R - GL30,N2570.340R,NC_1,2570R_GL30,N|201|27|38,NCS S 2570-R Glans 30,NCS S 2570-R Glans 30,NCS S 2570-R Glans 30,NCS S 2570-R Kiiltoaste 30,NCS S 2570-R Gloss 30,NCS S 2570-R Polysk 30
2570Y60R - GL30,N2570.340W,NC_1,2570Y60R_GL30,N|201|90|32,NCS S 2570-Y60R Glans 30,NCS S 2570-Y60R Glans 30,NCS S 2570-Y60R Glans 30,NCS S 2570-Y60R Kiiltoaste 30,NCS S 2570-Y60R Gloss 30,NCS S 2570-Y60R Polysk 30
2570Y80R - GL80,N2570.840C,NC_1,2570Y80R_GL80,N|201|59|29,NCS S 2570-Y80R Glans 80,NCS S 2570-Y80R Glans 80,NCS S 2570-Y80R Glans 80,NCS S 2570-Y80R Kiiltoaste 80,NCS S 2570-Y80R Gloss 80,NCS S 2570-Y80R Polysk 80
2570Y50R - GL80,N2570.840D,NC_1,2570Y50R_GL80,N|201|105|34,NCS S 2570-Y50R Glans 80,NCS S 2570-Y50R Glans 80,NCS S 2570-Y50R Glans 80,NCS S 2570-Y50R Kiiltoaste 80,NCS S 2570-Y50R Gloss 80,NCS S 2570-Y50R Polysk 80
2570Y70R - GL80,N2570.840E,NC_1,2570Y70R_GL80,N|201|74|31,NCS S 2570-Y70R Glans 80,NCS S 2570-Y70R Glans 80,NCS S 2570-Y70R Glans 80,NCS S 2570-Y70R Kiiltoaste 80,NCS S 2570-Y70R Gloss 80,NCS S 2570-Y70R Polysk 80
2570Y90R - GL80,N2570.840F,NC_1,2570Y90R_GL80,N|201|43|32,NCS S 2570-Y90R Glans 80,NCS S 2570-Y90R Glans 80,NCS S 2570-Y90R Glans 80,NCS S 2570-Y90R Kiiltoaste 80,NCS S 2570-Y90R Gloss 80,NCS S 2570-Y90R Polysk 80
2570R - GL80,N2570.840R,NC_1,2570R_GL80,N|201|27|38,NCS S 2570-R Glans 80,NCS S 2570-R Glans 80,NCS S 2570-R Glans 80,NCS S 2570-R Kiiltoaste 80,NCS S 2570-R Gloss 80,NCS S 2570-R Polysk 80
2570Y60R - GL80,N2570.840W,NC_1,2570Y60R_GL80,N|201|90|32,NCS S 2570-Y60R Glans 80,NCS S 2570-Y60R Glans 80,NCS S 2570-Y60R Glans 80,NCS S 2570-Y60R Kiiltoaste 80,NCS S 2570-Y60R Gloss 80,NCS S 2570-Y60R Polysk 80
2670Y80R - GL30,N2670.340C,NC_1,2670Y80R_GL30,N|199|58|29,NCS S 2670-Y80R Glans 30,NCS S 2670-Y80R Glans 30,NCS S 2670-Y80R Glans 30,NCS S 2670-Y80R Kiiltoaste 30,NCS S 2670-Y80R Gloss 30,NCS S 2670-Y80R Polysk 30
2670Y50R - GL30,N2670.340D,NC_1,2670Y50R_GL30,N|199|104|34,NCS S 2670-Y50R Glans 30,NCS S 2670-Y50R Glans 30,NCS S 2670-Y50R Glans 30,NCS S 2670-Y50R Kiiltoaste 30,NCS S 2670-Y50R Gloss 30,NCS S 2670-Y50R Polysk 30
2670Y70R - GL30,N2670.340E,NC_1,2670Y70R_GL30,N|199|73|30,NCS S 2670-Y70R Glans 30,NCS S 2670-Y70R Glans 30,NCS S 2670-Y70R Glans 30,NCS S 2670-Y70R Kiiltoaste 30,NCS S 2670-Y70R Gloss 30,NCS S 2670-Y70R Polysk 30
2670Y90R - GL30,N2670.340F,NC_1,2670Y90R_GL30,N|199|42|32,NCS S 2670-Y90R Glans 30,NCS S 2670-Y90R Glans 30,NCS S 2670-Y90R Glans 30,NCS S 2670-Y90R Kiiltoaste 30,NCS S 2670-Y90R Gloss 30,NCS S 2670-Y90R Polysk 30
2670R - GL30,N2670.340R,NC_1,2670R_GL30,N|199|26|37,NCS S 2670-R Glans 30,NCS S 2670-R Glans 30,NCS S 2670-R Glans 30,NCS S 2670-R Kiiltoaste 30,NCS S 2670-R Gloss 30,NCS S 2670-R Polysk 30
2670Y60R - GL30,N2670.340W,NC_1,2670Y60R_GL30,N|199|89|32,NCS S 2670-Y60R Glans 30,NCS S 2670-Y60R Glans 30,NCS S 2670-Y60R Glans 30,NCS S 2670-Y60R Kiiltoaste 30,NCS S 2670-Y60R Gloss 30,NCS S 2670-Y60R Polysk 30
2670Y80R - GL80,N2670.840C,NC_1,2670Y80R_GL80,N|199|58|29,NCS S 2670-Y80R Glans 80,NCS S 2670-Y80R Glans 80,NCS S 2670-Y80R Glans 80,NCS S 2670-Y80R Kiiltoaste 80,NCS S 2670-Y80R Gloss 80,NCS S 2670-Y80R Polysk 80
2670Y50R - GL80,N2670.840D,NC_1,2670Y50R_GL80,N|199|104|34,NCS S 2670-Y50R Glans 80,NCS S 2670-Y50R Glans 80,NCS S 2670-Y50R Glans 80,NCS S 2670-Y50R Kiiltoaste 80,NCS S 2670-Y50R Gloss 80,NCS S 2670-Y50R Polysk 80
2670Y70R - GL80,N2670.840E,NC_1,2670Y70R_GL80,N|199|73|30,NCS S 2670-Y70R Glans 80,NCS S 2670-Y70R Glans 80,NCS S 2670-Y70R Glans 80,NCS S 2670-Y70R Kiiltoaste 80,NCS S 2670-Y70R Gloss 80,NCS S 2670-Y70R Polysk 80
2670Y90R - GL80,N2670.840F,NC_1,2670Y90R_GL80,N|199|42|32,NCS S 2670-Y90R Glans 80,NCS S 2670-Y90R Glans 80,NCS S 2670-Y90R Glans 80,NCS S 2670-Y90R Kiiltoaste 80,NCS S 2670-Y90R Gloss 80,NCS S 2670-Y90R Polysk 80
2670R - GL80,N2670.840R,NC_1,2670R_GL80,N|199|26|37,NCS S 2670-R Glans 80,NCS S 2670-R Glans 80,NCS S 2670-R Glans 80,NCS S 2670-R Kiiltoaste 80,NCS S 2670-R Gloss 80,NCS S 2670-R Polysk 80
2670Y60R - GL80,N2670.840W,NC_1,2670Y60R_GL80,N|199|89|32,NCS S 2670-Y60R Glans 80,NCS S 2670-Y60R Glans 80,NCS S 2670-Y60R Glans 80,NCS S 2670-Y60R Kiiltoaste 80,NCS S 2670-Y60R Gloss 80,NCS S 2670-Y60R Polysk 80
3000N - GL30,N3000.340N,NC_1,3000N_GL30,N|178|178|178,NCS S 3000-N Glans 30,NCS S 3000-N Glans 30,NCS S 3000-N Glans 30,NCS S 3000-N Kiiltoaste 30,NCS S 3000-N Gloss 30,NCS S 3000-N Polysk 30
3000N - GL80,N3000.840N,NC_1,3000N_GL80,N|178|178|178,NCS S 3000-N Glans 80,NCS S 3000-N Glans 80,NCS S 3000-N Glans 80,NCS S 3000-N Kiiltoaste 80,NCS S 3000-N Gloss 80,NCS S 3000-N Polysk 80
3005B80G - GL30,N3005.3406,NC_1,3005B80G_GL30,N|173|188|185,NCS S 3005-B80G Glans 30,NCS S 3005-B80G Glans 30,NCS S 3005-B80G Glans 30,NCS S 3005-B80G Kiiltoaste 30,NCS S 3005-B80G Gloss 30,NCS S 3005-B80G Polysk 30
3005R20B - GL30,N3005.3408,NC_1,3005R20B_GL30,N|188|166|171,NCS S 3005-R20B Glans 30,NCS S 3005-R20B Glans 30,NCS S 3005-R20B Glans 30,NCS S 3005-R20B Kiiltoaste 30,NCS S 3005-R20B Gloss 30,NCS S 3005-R20B Polysk 30
3005Y20R - GL30,N3005.340A,NC_1,3005Y20R_GL30,N|188|183|172,NCS S 3005-Y20R Glans 30,NCS S 3005-Y20R Glans 30,NCS S 3005-Y20R Glans 30,NCS S 3005-Y20R Kiiltoaste 30,NCS S 3005-Y20R Gloss 30,NCS S 3005-Y20R Polysk 30
3005Y80R - GL30,N3005.340C,NC_1,3005Y80R_GL30,N|188|170|166,NCS S 3005-Y80R Glans 30,NCS S 3005-Y80R Glans 30,NCS S 3005-Y80R Glans 30,NCS S 3005-Y80R Kiiltoaste 30,NCS S 3005-Y80R Gloss 30,NCS S 3005-Y80R Polysk 30
3005Y50R - GL30,N3005.340D,NC_1,3005Y50R_GL30,N|188|177|169,NCS S 3005-Y50R Glans 30,NCS S 3005-Y50R Glans 30,NCS S 3005-Y50R Glans 30,NCS S 3005-Y50R Kiiltoaste 30,NCS S 3005-Y50R Gloss 30,NCS S 3005-Y50R Polysk 30
3005R80B - GL30,N3005.340I,NC_1,3005R80B_GL30,N|166|170|188,NCS S 3005-R80B Glans 30,NCS S 3005-R80B Glans 30,NCS S 3005-R80B Glans 30,NCS S 3005-R80B Kiiltoaste 30,NCS S 3005-R80B Gloss 30,NCS S 3005-R80B Polysk 30
3005G20Y - GL30,N3005.340T,NC_1,3005G20Y_GL30,N|178|188|174,NCS S 3005-G20Y Glans 30,NCS S 3005-G20Y Glans 30,NCS S 3005-G20Y Glans 30,NCS S 3005-G20Y Kiiltoaste 30,NCS S 3005-G20Y Gloss 30,NCS S 3005-G20Y Polysk 30
3005G50Y - GL30,N3005.340U,NC_1,3005G50Y_GL30,N|169|173|160,NCS S 3005-G50Y GLans 30,NCS S 3005-G50Y GLans 30,NCS S 3005-G50Y GLans 30,NCS S 3005-G50Y Kiiltoaste 30,NCS S 3005-G50Y GLoss 30,NCS S 3005-G50Y Polysk 30
3005G80Y - GL30,N3005.340V,NC_1,3005G80Y_GL30,N|188|188|174,NCS S 3005-G80Y Glans 30,NCS S 3005-G80Y Glans 30,NCS S 3005-G80Y Glans 30,NCS S 3005-G80Y Kiiltoaste 30,NCS S 3005-G80Y Gloss 30,NCS S 3005-G80Y Polysk 30
3005B80G - GL80,N3005.8406,NC_1,3005B80G_GL80,N|173|188|185,NCS S 3005-B80G Glans 80,NCS S 3005-B80G Glans 80,NCS S 3005-B80G Glans 80,NCS S 3005-B80G Kiiltoaste 80,NCS S 3005-B80G Gloss 80,NCS S 3005-B80G Polysk 80
3005R20B - GL80,N3005.8408,NC_1,3005R20B_GL80,N|188|166|171,NCS S 3005-R20B Glans 80,NCS S 3005-R20B Glans 80,NCS S 3005-R20B Glans 80,NCS S 3005-R20B Kiiltoaste 80,NCS S 3005-R20B Gloss 80,NCS S 3005-R20B Polysk 80
3005Y20R - GL80,N3005.840A,NC_1,3005Y20R_GL80,N|188|183|172,NCS S 3005-Y20R Glans 80,NCS S 3005-Y20R Glans 80,NCS S 3005-Y20R Glans 80,NCS S 3005-Y20R Kiiltoaste 80,NCS S 3005-Y20R Gloss 80,NCS S 3005-Y20R Polysk 80
3005Y80R - GL80,N3005.840C,NC_1,3005Y80R_GL80,N|188|170|166,NCS S 3005-Y80R Glans 80,NCS S 3005-Y80R Glans 80,NCS S 3005-Y80R Glans 80,NCS S 3005-Y80R Kiiltoaste 80,NCS S 3005-Y80R Gloss 80,NCS S 3005-Y80R Polysk 80
3005Y50R - GL80,N3005.840D,NC_1,3005Y50R_GL80,N|188|177|169,NCS S 3005-Y50R Glans 80,NCS S 3005-Y50R Glans 80,NCS S 3005-Y50R Glans 80,NCS S 3005-Y50R Kiiltoaste 80,NCS S 3005-Y50R Gloss 80,NCS S 3005-Y50R Polysk 80
3005R80B - GL80,N3005.840I,NC_1,3005R80B_GL80,N|166|170|188,NCS S 3005-R80B Glans 80,NCS S 3005-R80B Glans 80,NCS S 3005-R80B Glans 80,NCS S 3005-R80B Kiiltoaste 80,NCS S 3005-R80B Gloss 80,NCS S 3005-R80B Polysk 80
3005G20Y - GL80,N3005.840T,NC_1,3005G20Y_GL80,N|178|188|174,NCS S 3005-G20Y Glans 80,NCS S 3005-G20Y Glans 80,NCS S 3005-G20Y Glans 80,NCS S 3005-G20Y Kiiltoaste 80,NCS S 3005-G20Y Gloss 80,NCS S 3005-G20Y Polysk 80
3005G80Y - GL80,N3005.840V,NC_1,3005G80Y_GL80,N|188|188|174,NCS S 3005-G80Y Glans 80,NCS S 3005-G80Y Glans 80,NCS S 3005-G80Y Glans 80,NCS S 3005-G80Y Kiiltoaste 80,NCS S 3005-G80Y Gloss 80,NCS S 3005-G80Y Polysk 80
3010B30G - GL30,N3010.3400,NC_1,3010B30G_GL30,N|160|185|188,NCS S 3010-B30G Glans 30,NCS S 3010-B30G Glans 30,NCS S 3010-B30G Glans 30,NCS S 3010-B30G Kiiltoaste 30,NCS S 3010-B30G Gloss 30,NCS S 3010-B30G Polysk 30
3010G40Y - GL30,N3010.3404,NC_1,3010G40Y_GL30,N|178|188|157,NCS S 3010-G40Y Glans 30,NCS S 3010-G40Y Glans 30,NCS S 3010-G40Y Glans 30,NCS S 3010-G40Y Kiiltoaste 30,NCS S 3010-G40Y Gloss 30,NCS S 3010-G40Y Polysk 30
3010R50B - GL30,N3010.3409,NC_1,3010R50B_GL30,N|188|159|182,NCS S 3010-R50B Glans 30,NCS S 3010-R50B Glans 30,NCS S 3010-R50B Glans 30,NCS S 3010-R50B Kiiltoaste 30,NCS S 3010-R50B Gloss 30,NCS S 3010-R50B Polysk 30
3010Y20R - GL30,N3010.340A,NC_1,3010Y20R_GL30,N|188|178|157,NCS S 3010-Y20R Glans 30,NCS S 3010-Y20R Glans 30,NCS S 3010-Y20R Glans 30,NCS S 3010-Y20R Kiiltoaste 30,NCS S 3010-Y20R Gloss 30,NCS S 3010-Y20R Polysk 30
3010B - GL30,N3010.340B,NC_1,3010B_GL30,N|156|176|188,NCS S 3010-B Glans 30,NCS S 3010-B Glans 30,NCS S 3010-B Glans 30,NCS S 3010-B Kiiltoaste 30,NCS S 3010-B Gloss 30,NCS S 3010-B Polysk 30
3010G - GL30,N3010.340G,NC_1,3010G_GL30,N|152|188|166,NCS S 3010-G Glans 30,NCS S 3010-G Glans 30,NCS S 3010-G Glans 30,NCS S 3010-G Kiiltoaste 30,NCS S 3010-G Gloss 30,NCS S 3010-G Polysk 30
3010G30Y - GL30,N3010.340H,NC_1,3010G30Y_GL30,N|173|188|158,NCS S 3010-G30Y Glans 30,NCS S 3010-G30Y Glans 30,NCS S 3010-G30Y Glans 30,NCS S 3010-G30Y Kiiltoaste 30,NCS S 3010-G30Y Gloss 30,NCS S 3010-G30Y Polysk 30
3010Y30R - GL30,N3010.340L,NC_1,3010Y30R_GL30,N|188|175|156,NCS S 3010-Y30R Glans 30,NCS S 3010-Y30R Glans 30,NCS S 3010-Y30R Glans 30,NCS S 3010-Y30R Kiiltoaste 30,NCS S 3010-Y30R Gloss 30,NCS S 3010-Y30R Polysk 30
